Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Indonesia,IDN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,14.1229801177978,14.6824598312378,15.7722797393799,16.1766300201416,16.6967105865479,16.767240524292,17.5765991210938,20.5209503173828,22.6933307647705,23.4159086398462,25.027444191823,29.0425391195214,29.894529174265,29.9904910473273,32.4590200433758,34.8307173410877,35.967012362631,36.1494878042588,37.3230862728703,38.1650601406923,40.6293239880732,42.3260385456152,44.8813034886441,..,..
Indonesia,IDN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,93.7076873779297,95.4321975708008,97.6939468383789,97.2464828491211,97.4744873046875,95.7227630615234,98.4336318969727,97.3859481811523,98.3221130371094,101.795042304754,100.776148719838,108.012121873384,107.015322001135,109.545206228873,108.896737190118,107.213433946707,104.773527897237,102.627469259879,102.856162733356,102.119707703437,103.366819034154,102.068055782043,99.9521715181012,..,..
Indonesia,IDN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,71.1110763549805,74.100227355957,74.6714935302734,71.0544662475586,73.2656097412109,79.5956192016602,76.1189193725586,82.4980697631836,84.2223030453472,88.3502775803615,82.0114847271123,81.4525245688744,89.6896079138365,95.7864737958094,99.2077611274975,95.1407540800194,100.214514427876,100.984414424274,99.2865225014332,98.3300036590485,100.68547920315,97.6515105231315,101.725245923963,99.6596537255366
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,90.379997253418,..,91.9800033569336,..,92.1900024414062,92.5800018310547,92.3199996948242,92.8099975585938,..,..,95.120002746582,95.2200012207031,95.379997253418,..,95.6600036621094,..,96,..,..,..,..,..
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.46003007888794,2.64568996429443,3.21799993515015,2.74846005439758,2.87281990051269,..,3.04426002502441,2.90190005302429,3.52513003349304,2.81227993965149,3.18944001197815,3.40748000144958,3.35904002189636,3.28800988197327,3.58361005783081,1.21023452496964,1.05324382490056,0.994436460846179,0.964399077622927,1.01593221347809,1.03221750658374,0.863943349575907,1.27517088245674,..,..
Indonesia,IDN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,11.5938901901245,14.3690500259399,16.2781791687012,14.1702995300293,15.1821098327637,..,14.939920425415,13.674750328064,19.3081398010254,16.6539402008057,18.0055103302002,18.0904197692871,17.8482608795166,17.9038906097412,20.3588600158691,11.3228385780706,10.8803626838238,10.145246388091,9.34260924899348,9.31964024456527,8.96559769031117,8.70282050991956,..,..,10.5571024660163
Indonesia,IDN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,9.48922,9.42407,10.9866,8.28022,..,10.2787,9.86514,9.95311,10.52216,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,"Children out of school, primary",SE.PRM.UNER,1082406,1148725,1182554,1369667,1559205,1117320,554080,690846,264905,104908,486790,63112,490076,959679,..,1685507,1796456,2189066.4453125,495248.938956723,778194.218833413,420235.204818223,358046.028433468,211984.970489349,310417.722365066,250574.853046648
Indonesia,IDN,"Children out of school, primary, female",SE.PRM.UNER.FE,485247,490105,564382,674155,853624,651331,432986,399442,237257,..,..,..,218927,585629,..,1164854,1202305,1329649.75,..,..,..,..,..,..,..
Indonesia,IDN,"Children out of school, primary, male",SE.PRM.UNER.MA,597159,658620,618172,695512,705581,465989,121094,291404,27648,..,..,..,271149,374050,..,520653,594151,859416.6953125,..,..,..,..,..,..,..
